Distances,Angles,Kernel,C,Extraction Time,Training Time,Validation Accuracy
[3],[0.7853981633974483],linear,100,7.984041452407837,1.376415491104126,0.7006369426751592
[3],[0.7853981633974483],rbf,0.1,7.9252238273620605,0.23383688926696777,0.7356687898089171
[3],[0.7853981633974483],rbf,1,8.101869106292725,0.22748422622680664,0.767515923566879
[3],[0.7853981633974483],rbf,10,7.881406307220459,0.2106943130493164,0.785031847133758
[3],[0.7853981633974483],rbf,100,8.048165559768677,0.3192155361175537,0.7818471337579618
[3],[0.7853981633974483],poly,0.1,7.824756622314453,0.15915632247924805,0.6512738853503185
[3],[0.7853981633974483],poly,1,8.029111623764038,0.1767134666442871,0.7181528662420382
[3],[0.7853981633974483],poly,10,8.033665418624878,0.33839917182922363,0.7468152866242038
[3],[0.7853981633974483],poly,100,7.7821784019470215,1.3365933895111084,0.7547770700636943
[3],[1.5707963267948966],linear,0.1,7.834466218948364,0.16829586029052734,0.6528662420382165
[3],[1.5707963267948966],linear,1,8.327826738357544,0.1688675880432129,0.6592356687898089
[3],[1.5707963267948966],linear,10,8.132681369781494,0.3642008304595947,0.6592356687898089
[3],[1.5707963267948966],linear,100,7.698623895645142,1.6317689418792725,0.6592356687898089
[3],[1.5707963267948966],rbf,0.1,7.747790098190308,0.24477529525756836,0.7006369426751592
[3],[1.5707963267948966],rbf,1,7.858922958374023,0.22917842864990234,0.7261146496815286
[3],[1.5707963267948966],rbf,10,7.836140871047974,0.2653319835662842,0.7515923566878981
[3],[1.5707963267948966],rbf,100,7.800067663192749,0.34859442710876465,0.7563694267515924
[3],[1.5707963267948966],poly,0.1,8.10702109336853,0.1829221248626709,0.6369426751592356
[3],[1.5707963267948966],poly,1,7.847546100616455,0.1856832504272461,0.7054140127388535
[3],[1.5707963267948966],poly,10,7.753403663635254,0.4757516384124756,0.7117834394904459
[3],[1.5707963267948966],poly,100,7.7487616539001465,2.5121829509735107,0.7245222929936306
[3],[2.356194490192345],linear,0.1,7.861853122711182,0.11505413055419922,0.7181528662420382
[3],[2.356194490192345],linear,1,7.893419504165649,0.15523386001586914,0.714968152866242
[3],[2.356194490192345],linear,10,7.8090314865112305,0.3417670726776123,0.7101910828025477
[3],[2.356194490192345],linear,100,7.993609428405762,1.3422231674194336,0.7117834394904459
[3],[2.356194490192345],rbf,0.1,7.860625267028809,0.267287015914917,0.75
[3],[2.356194490192345],rbf,1,7.7254180908203125,0.20670104026794434,0.7707006369426752
[3],[2.356194490192345],rbf,10,7.697652816772461,0.23175907135009766,0.785031847133758
[3],[2.356194490192345],rbf,100,7.8454601764678955,0.3215513229370117,0.7866242038216561
[3],[2.356194490192345],poly,0.1,7.729540824890137,0.1797347068786621,0.6464968152866242
[3],[2.356194490192345],poly,1,7.803555488586426,0.17629718780517578,0.7181528662420382
[3],[2.356194490192345],poly,10,8.440168857574463,0.2894001007080078,0.7579617834394905
[3],[2.356194490192345],poly,100,7.7858617305755615,1.343310832977295,0.7579617834394905
Test Results,,,,,,
[3],[0],rbf,100,,,0.794912559618442
